State,District,Year,Cashewnut_Area_Hectare,Cashewnut_Production_Tonnes,Cashewnut_Yield_Tonne_Hectare,Coconut_Area_Hectare,Coconut_Production_Nuts,Coconut_Yield_Nuts_Hectare,Ginger_Area_Hectare,Ginger_Production_Tonnes,Ginger_Yield_Tonne_Hectare,Sugarcane_Area_Hectare,Sugarcane_Production_Tonnes,Sugarcane_Yield_Tonne_Hectare,Sweet_potato_Area_Hectare,Sweet_potato_Production_Tonnes,Sweet_potato_Yield_Tonne_Hectare,Arecanut_Area_Hectare,Arecanut_Production_Tonnes,Arecanut_Yield_Tonne_Hectare,Banana_Area_Hectare,Banana_Production_Tonnes,Banana_Yield_Tonne_Hectare,Black_pepper_Area_Hectare,Black_pepper_Production_Tonnes,Black_pepper_Yield_Tonne_Hectare,Dry_chillies_Area_Hectare,Dry_chillies_Production_Tonnes,Dry_chillies_Yield_Tonne_Hectare,other_oilseeds_Area_Hectare,other_oilseeds_Production_Tonnes,other_oilseeds_Yield_Tonne_Hectare,Coriander_Area_Hectare,Coriander_Production_Tonnes,Coriander_Yield_Tonne_Hectare,Tobacco_Area_Hectare,Tobacco_Production_Tonnes,Tobacco_Yield_Tonne_Hectare,Turmeric_Area_Hectare,Turmeric_Production_Tonnes,Turmeric_Yield_Tonne_Hectare,Bhindi_Area_Hectare,Bhindi_Production_Tonnes,Bhindi_Yield_Tonne_Hectare,Brinjal_Area_Hectare,Brinjal_Production_Tonnes,Brinjal_Yield_Tonne_Hectare,Citrus_Fruit_Area_Hectare,Citrus_Fruit_Production_Tonnes,Citrus_Fruit_Yield_Tonne_Hectare,Cucumber_Area_Hectare,Cucumber_Production_Tonnes,Cucumber_Yield_Tonne_Hectare,Grapes_Area_Hectare,Grapes_Production_Tonnes,Grapes_Yield_Tonne_Hectare,Mango_Area_Hectare,Mango_Production_Tonnes,Mango_Yield_Tonne_Hectare,Orange_Area_Hectare,Orange_Production_Tonnes,Orange_Yield_Tonne_Hectare,Other_Fresh_Fruits_Area_Hectare,Other_Fresh_Fruits_Production_Tonnes,Other_Fresh_Fruits_Yield_Tonne_Hectare,Other_Vegetables_Area_Hectare,Other_Vegetables_Production_Tonnes,Other_Vegetables_Yield_Tonne_Hectare,Papaya_Area_Hectare,Papaya_Production_Tonnes,Papaya_Yield_Tonne_Hectare,Pome_Fruit_Area_Hectare,Pome_Fruit_Production_Tonnes,Pome_Fruit_Yield_Tonne_Hectare,Potato_Area_Hectare,Potato_Production_Tonnes,Potato_Yield_Tonne_Hectare,Tomato_Area_Hectare,Tomato_Production_Tonnes,Tomato_Yield_Tonne_Hectare,Cabbage_Area_Hectare,Cabbage_Production_Tonnes,Cabbage_Yield_Tonne_Hectare,Peas_vegetable_Area_Hectare,Peas_vegetable_Production_Tonnes,Peas_vegetable_Yield_Tonne_Hectare,Tapioca_Area_Hectare,Tapioca_Production_Tonnes,Tapioca_Yield_Tonne_Hectare,Bottle_Gourd_Area_Hectare,Bottle_Gourd_Production_Tonnes,Bottle_Gourd_Yield_Tonne_Hectare,Oilseeds_total_Area_Hectare,Oilseeds_total_Production_Tonnes,Oilseeds_total_Yield_Tonne_Hectare,Pulses_total_Area_Hectare,Pulses_total_Production_Tonnes,Pulses_total_Yield_Tonne_Hectare,Onion_Area_Hectare,Onion_Production_Tonnes,Onion_Yield_Tonne_Hectare,Pineapple_Area_Hectare,Pineapple_Production_Tonnes,Pineapple_Yield_Tonne_Hectare,Garlic_Area_Hectare,Garlic_Production_Tonnes,Garlic_Yield_Tonne_Hectare,Sannhamp_Area_Hectare,Sannhamp_Production_Tonnes,Sannhamp_Yield_Tonne_Hectare,Guar_seed_Area_Hectare,Guar_seed_Production_Tonnes,Guar_seed_Yield_Tonne_Hectare,Turnip_Area_Hectare,Turnip_Production_Tonnes,Turnip_Yield_Tonne_Hectare,Carrot_Area_Hectare,Carrot_Production_Tonnes,Carrot_Yield_Tonne_Hectare,Redish_Area_Hectare,Redish_Production_Tonnes,Redish_Yield_Tonne_Hectare,Arcanut_Processed_Area_Hectare,Arcanut_Processed_Production_Tonnes,Arcanut_Processed_Yield_Tonne_Hectare,Atcanut_Raw_Area_Hectare,Atcanut_Raw_Production_Tonnes,Atcanut_Raw_Yield_Tonne_Hectare,Peas_&_beans_Pulses_Area_Hectare,Peas_&_beans_Pulses_Production_Tonnes,Peas_&_beans_Pulses_Yield_Tonne_Hectare,Cashewnut_Processed_Area_Hectare,Cashewnut_Processed_Production_Tonnes,Cashewnut_Processed_Yield_Tonne_Hectare,Cashewnut_Raw_Area_Hectare,Cashewnut_Raw_Production_Tonnes,Cashewnut_Raw_Yield_Tonne_Hectare,Cardamom_Area_Hectare,Cardamom_Production_Tonnes,Cardamom_Yield_Tonne_Hectare,Rubber_Area_Hectare,Rubber_Production_Tonnes,Rubber_Yield_Tonne_Hectare,Bitter_Gourd_Area_Hectare,Bitter_Gourd_Production_Tonnes,Bitter_Gourd_Yield_Tonne_Hectare,Drum_Stick_Area_Hectare,Drum_Stick_Production_Tonnes,Drum_Stick_Yield_Tonne_Hectare,Jack_Fruit_Area_Hectare,Jack_Fruit_Production_Tonnes,Jack_Fruit_Yield_Tonne_Hectare,Snak_Guard_Area_Hectare,Snak_Guard_Production_Tonnes,Snak_Guard_Yield_Tonne_Hectare,Tea_Area_Hectare,Tea_Production_Tonnes,Tea_Yield_Tonne_Hectare,Coffee_Area_Hectare,Coffee_Production_Tonnes,Coffee_Yield_Tonne_Hectare,Cauliflower_Area_Hectare,Cauliflower_Production_Tonnes,Cauliflower_Yield_Tonne_Hectare,Other_Citrus_Fruit_Area_Hectare,Other_Citrus_Fruit_Production_Tonnes,Other_Citrus_Fruit_Yield_Tonne_Hectare,Water_Melon_Area_Hectare,Water_Melon_Production_Tonnes,Water_Melon_Yield_Tonne_Hectare,Ash_Gourd_Area_Hectare,Ash_Gourd_Production_Tonnes,Ash_Gourd_Yield_Tonne_Hectare,Beet_Root_Area_Hectare,Beet_Root_Production_Tonnes,Beet_Root_Yield_Tonne_Hectare,Lab-Lab_Area_Hectare,Lab-Lab_Production_Tonnes,Lab-Lab_Yield_Tonne_Hectare,Pome_Granet_Area_Hectare,Pome_Granet_Production_Tonnes,Pome_Granet_Yield_Tonne_Hectare,Ribed_Guard_Area_Hectare,Ribed_Guard_Production_Tonnes,Ribed_Guard_Yield_Tonne_Hectare,Yam_Area_Hectare,Yam_Production_Tonnes,Yam_Yield_Tonne_Hectare,Apple_Area_Hectare,Apple_Production_Tonnes,Apple_Yield_Tonne_Hectare,Peach_Area_Hectare,Peach_Production_Tonnes,Peach_Yield_Tonne_Hectare,Pear_Area_Hectare,Pear_Production_Tonnes,Pear_Yield_Tonne_Hectare,Plums_Area_Hectare,Plums_Production_Tonnes,Plums_Yield_Tonne_Hectare,Litchi_Area_Hectare,Litchi_Production_Tonnes,Litchi_Yield_Tonne_Hectare,Ber_Area_Hectare,Ber_Production_Tonnes,Ber_Yield_Tonne_Hectare,Other_Dry_Fruit_Area_Hectare,Other_Dry_Fruit_Production_Tonnes,Other_Dry_Fruit_Yield_Tonne_Hectare,Jute_&_mesta_Area_Hectare,Jute_&_mesta_Production_Tonnes,Jute_&_mesta_Yield_Tonne_Hectare,Sesamum_Area_Hectare,Sesamum_Production_Tonnes,Sesamum_Yield_Tonne_Hectare,Groundnut_Area_Hectare,Groundnut_Production_Tonnes,Groundnut_Yield_Tonne_Hectare,Sunflower_Area_Hectare,Sunflower_Production_Tonnes,Sunflower_Yield_Tonne_Hectare,Cottonlint_Area_Hectare,Cottonlint_Production_Bales,Cottonlint_Yield_Bales_Hectare,Mesta_Area_Hectare,Mesta_Production_Bales,Mesta_Yield_Bales_Hectare,Small_millets_Area_Hectare,Small_millets_Production_Tonnes,Small_millets_Yield_Tonne_Hectare,Arhar_Tur_Area_Hectare,Arhar_Tur_Production_Tonnes,Arhar_Tur_Yield_Tonne_Hectare,Bajra_Area_Hectare,Bajra_Production_Tonnes,Bajra_Yield_Tonne_Hectare,Castor_seed_Area_Hectare,Castor_seed_Production_Tonnes,Castor_seed_Yield_Tonne_Hectare,Gram_Area_Hectare,Gram_Production_Tonnes,Gram_Yield_Tonne_Hectare,Linseed_Area_Hectare,Linseed_Production_Tonnes,Linseed_Yield_Tonne_Hectare,Maize_Area_Hectare,Maize_Production_Tonnes,Maize_Yield_Tonne_Hectare,Rice_Area_Hectare,Rice_Production_Tonnes,Rice_Yield_Tonne_Hectare,Soyabean_Area_Hectare,Soyabean_Production_Tonnes,Soyabean_Yield_Tonne_Hectare,Wheat_Area_Hectare,Wheat_Production_Tonnes,Wheat_Yield_Tonne_Hectare,Barley_Area_Hectare,Barley_Production_Tonnes,Barley_Yield_Tonne_Hectare,Khesari_Area_Hectare,Khesari_Production_Tonnes,Khesari_Yield_Tonne_Hectare,Masoor_Area_Hectare,Masoor_Production_Tonnes,Masoor_Yield_Tonne_Hectare,Niger_seed_Area_Hectare,Niger_seed_Production_Tonnes,Niger_seed_Yield_Tonne_Hectare,Rapeseed_&Mustard_Area_Hectare,Rapeseed_&Mustard_Production_Tonnes,Rapeseed_&Mustard_Yield_Tonne_Hectare,Ragi_Area_Hectare,Ragi_Production_Tonnes,Ragi_Yield_Tonne_Hectare,Safflower_Area_Hectare,Safflower_Production_Tonnes,Safflower_Yield_Tonne_Hectare,Jowar_Area_Hectare,Jowar_Production_Tonnes,Jowar_Yield_Tonne_Hectare,MoongGreen_Gram_Area_Hectare,MoongGreen_Gram_Production_Tonnes,MoongGreen_Gram_Yield_Tonne_Hectare,Urad_Area_Hectare,Urad_Production_Tonnes,Urad_Yield_Tonne_Hectare,Horse-gram_Area_Hectare,Horse-gram_Production_Tonnes,Horse-gram_Yield_Tonne_Hectare,CowpeaLobia_Area_Hectare,CowpeaLobia_Yield_Tonne_Hectare,Total_foodgrain_Area_Hectare,Total_foodgrain_Production_Tonnes,Total_foodgrain_Yield_Tonne_Hectare
28. Uttar Pradesh,32. Gorakhpur,2005 - 2006,,,,,,,,,,,,,11,144,13.09,,,,804,30636,38.1,,,,4,3,0.75,,,,21,12,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242,3115,12.87,,,,2,9,4.5,,,,24,19,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28. Uttar Pradesh,32. Gorakhpur,2006 - 2007,,,,,,,,,,,,,,,,,,,767,29772,38.82,,,,13,12,0.92,,,,27,14,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,17,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28. Uttar Pradesh,33. Hamirpur,2005 - 2006,,,,,,,,,,,,,12,157,13.08,,,,,,,,,,63,57,0.9,,,,11,6,0.55,7,43,6.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,1941,12.85,,,,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28. Uttar Pradesh,33. Hamirpur,2006 - 2007,,,,,,,,,,,,,,,,,,,,,,,,,78,74,0.95,,,,17,9,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,24,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28. Uttar Pradesh,34. Hardoi,2005 - 2006,,,,,,,,,,,,,1035,13539,13.08,,,,,,,,,,537,491,0.91,,,,97,56,0.58,55,311,5.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,776,10006,12.89,,,,127,553,4.35,,,,23,19,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28. Uttar Pradesh,34. Hardoi,2006 - 2007,,,,,,,,,,,,,,,,,,,,,,,,,521,494,0.95,,,,49,26,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,29,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28. Uttar Pradesh,35. Hathras,2005 - 2006,,,,,,,,,,,,,91,1190,13.08,,,,,,,,,,195,178,0.91,,,,58,33,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,539,12.83,,,,120,523,4.36,,,,23,19,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28. Uttar Pradesh,35. Hathras,2006 - 2007,,,,,,,,,,,,,,,,,,,,,,,,,201,191,0.95,,,,43,22,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,24,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28. Uttar Pradesh,36. Jalaun,2005 - 2006,,,,,,,,,,,,,10,131,13.1,,,,,,,,,,102,93,0.91,,,,2,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243,3106,12.78,,,,,,,,,,74,60,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28. Uttar Pradesh,36. Jalaun,2006 - 2007,,,,,,,,,,,,,,,,,,,,,,,,,94,89,0.95,,,,3,1,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,68,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28. Uttar Pradesh,37. Jaunpur,2005 - 2006,,,,,,,,,,,,,118,1544,13.08,,,,3,114,38,,,,5,4,0.8,,,,37,21,0.57,40,217,5.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,946,12213,12.91,,,,9,39,4.33,,,,22,18,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28. Uttar Pradesh,37. Jaunpur,2006 - 2007,,,,,,,,,,,,,,,,,,,9,349,38.78,,,,5,5,1,,,,54,28,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,23,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28. Uttar Pradesh,38. Jhansi,2005 - 2006,,,,,,,,,,,,,4,52,13,,,,,,,,,,5,5,1,,,,21,12,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235,3025,12.87,,,,,,,,,,4,3,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28. Uttar Pradesh,38. Jhansi,2006 - 2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,75,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28. Uttar Pradesh,39. Kannauj,2005 - 2006,,,,,,,,,,,,,558,7299,13.08,,,,,,,,,,219,200,0.91,,,,66,38,0.58,30,139,4.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,16748,12.88,,,,1851,8065,4.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28. Uttar Pradesh,39. Kannauj,2006 - 2007,,,,,,,,,,,,,,,,,,,,,,,,,269,255,0.95,,,,29,15,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28. Uttar Pradesh,40. Kanpur dehat,2005 - 2006,,,,,,,,,,,,,317,4146,13.08,,,,1,38,38,,,,135,123,0.91,,,,1101,630,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441,5655,12.82,,,,145,632,4.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28. Uttar Pradesh,40. Kanpur dehat,2006 - 2007,,,,,,,,,,,,,,,,,,,,,,,,,150,142,0.95,,,,506,263,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,23,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28. Uttar Pradesh,41. Kanpur nagar,2005 - 2006,,,,,,,,,,,,,480,6279,13.08,,,,,,,,,,1785,1630,0.91,,,,356,204,0.57,37,170,4.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209,2677,12.81,,,,29,126,4.34,,,,105,85,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28. Uttar Pradesh,41. Kanpur nagar,2006 - 2007,,,,,,,,,,,,,,,,,,,,,,,,,1599,1517,0.95,,,,584,304,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,38,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28. Uttar Pradesh,42. Kaushambi,2005 - 2006,,,,,,,,,,,,,626,8188,13.08,,,,209,7964,38.11,,,,339,310,0.91,,,,19,11,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,465,5951,12.8,,,,54,235,4.35,,,,24,19,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28. Uttar Pradesh,42. Kaushambi,2006 - 2007,,,,,,,,,,,,,,,,,,,395,15332,38.82,,,,338,321,0.95,,,,69,36,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,24,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28. Uttar Pradesh,43. Kheri,2005 - 2006,,,,,,,,,,,,,53,693,13.08,,,,49,1867,38.1,,,,170,155,0.91,,,,157,90,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,1598,12.89,,,,133,579,4.35,,,,62,50,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28. Uttar Pradesh,43. Kheri,2006 - 2007,,,,,,,,,,,,,,,,,,,28,1087,38.82,,,,324,307,0.95,,,,160,83,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,54,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28. Uttar Pradesh,44. Kushi nagar,2005 - 2006,,,,,,,,,,,,,67,877,13.09,,,,280,10670,38.11,,,,5,5,1,,,,85,49,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,1014,12.84,,,,2,9,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
